keyword;id;title;channel;duration;views;thumbnails;publish_time;url_suffix;cmt_author;comment;cmt_time;cmt_likes
poverty and senegal;FxAc0McBOWY;Senegal. Documentary: The Silence of Senegal;Vento Maestrale;42:18;21 147 v;https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDI-8Wk5C1ttF7Wf_G9bEDgact8EA, https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAz1jSPyp1pc43sDJ00RtY3TAGaVg;il y a 3 ans;/watch?v=FxAc0McBOWY;Irene Davo;764 Subscribers;2022-05-19T00:15:09Z;0
poverty and senegal;FxAc0McBOWY;Senegal. Documentary: The Silence of Senegal;Vento Maestrale;42:18;21 147 v;https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDI-8Wk5C1ttF7Wf_G9bEDgact8EA, https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAz1jSPyp1pc43sDJ00RtY3TAGaVg;il y a 3 ans;/watch?v=FxAc0McBOWY;Blakk Diamond;This is not all Senegal;2022-03-09T02:31:45Z;0
poverty and senegal;FxAc0McBOWY;Senegal. Documentary: The Silence of Senegal;Vento Maestrale;42:18;21 147 v;https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDI-8Wk5C1ttF7Wf_G9bEDgact8EA, https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAz1jSPyp1pc43sDJ00RtY3TAGaVg;il y a 3 ans;/watch?v=FxAc0McBOWY;osama amir;Great vedio �;2022-02-09T20:17:08Z;1
poverty and senegal;FxAc0McBOWY;Senegal. Documentary: The Silence of Senegal;Vento Maestrale;42:18;21 147 v;https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDI-8Wk5C1ttF7Wf_G9bEDgact8EA, https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAz1jSPyp1pc43sDJ00RtY3TAGaVg;il y a 3 ans;/watch?v=FxAc0McBOWY;Kelvin Naholo;"Wow, I loved this from Namibia 🇳🇦🇳🇦🇳🇦. It is so unique and peaceful village lifestyle and people are content. This is contrary to the world view on Africa that&#39;s always bombarded into our heads by Western media that Africa is the mother of all sufferings. I would this film is a reflection of 80% rural life in Africa in conflict free zones. These people are not begging anybody for help till trouble is fomented elsewhere to tear";2022-01-31T15:27:53Z;2
poverty and senegal;FxAc0McBOWY;Senegal. Documentary: The Silence of Senegal;Vento Maestrale;42:18;21 147 v;https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDI-8Wk5C1ttF7Wf_G9bEDgact8EA, https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAz1jSPyp1pc43sDJ00RtY3TAGaVg;il y a 3 ans;/watch?v=FxAc0McBOWY;Kelvin Naholo;"Wow, I loved this from Namibia 🇳🇦🇳🇦🇳🇦. It is so unique and peaceful village lifestyle and people are content. This is contrary to the world view on Africa that&#39;s always bombarded into our heads by Western media that Africa is the mother of all sufferings. I would this film is a reflection of 80% rural life in Africa in conflict free zones. These people are not begging anybody for help till trouble is fomented elsewhere to tear";2022-01-31T15:27:30Z;0
poverty and senegal;FxAc0McBOWY;Senegal. Documentary: The Silence of Senegal;Vento Maestrale;42:18;21 147 v;https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDI-8Wk5C1ttF7Wf_G9bEDgact8EA, https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAz1jSPyp1pc43sDJ00RtY3TAGaVg;il y a 3 ans;/watch?v=FxAc0McBOWY;Ib Cham;"THE DEVIL&#39;S  CAME,  MESS  WITH OUR CIVILIZATION  THEN  DIVIDE  AND RULE OSS....�";2021-12-19T09:58:00Z;0
poverty and senegal;FxAc0McBOWY;Senegal. Documentary: The Silence of Senegal;Vento Maestrale;42:18;21 147 v;https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDI-8Wk5C1ttF7Wf_G9bEDgact8EA, https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAz1jSPyp1pc43sDJ00RtY3TAGaVg;il y a 3 ans;/watch?v=FxAc0McBOWY;Phung Linh;May I ask which this region is in Senegal pls;2021-12-14T03:49:26Z;1
poverty and senegal;FxAc0McBOWY;Senegal. Documentary: The Silence of Senegal;Vento Maestrale;42:18;21 147 v;https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDI-8Wk5C1ttF7Wf_G9bEDgact8EA, https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAz1jSPyp1pc43sDJ00RtY3TAGaVg;il y a 3 ans;/watch?v=FxAc0McBOWY;Aqeel Ahmed;i love senegal .i m from pakistan the islamic republic;2021-10-31T13:25:24Z;0
poverty and senegal;FxAc0McBOWY;Senegal. Documentary: The Silence of Senegal;Vento Maestrale;42:18;21 147 v;https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDI-8Wk5C1ttF7Wf_G9bEDgact8EA, https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAz1jSPyp1pc43sDJ00RtY3TAGaVg;il y a 3 ans;/watch?v=FxAc0McBOWY;W Dean;Beautiful. Thank you!;2021-10-09T21:06:44Z;0
poverty and senegal;FxAc0McBOWY;Senegal. Documentary: The Silence of Senegal;Vento Maestrale;42:18;21 147 v;https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDI-8Wk5C1ttF7Wf_G9bEDgact8EA, https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAz1jSPyp1pc43sDJ00RtY3TAGaVg;il y a 3 ans;/watch?v=FxAc0McBOWY;ICEGAMBIA;This not Senegal;2021-09-21T04:44:25Z;0
poverty and senegal;FxAc0McBOWY;Senegal. Documentary: The Silence of Senegal;Vento Maestrale;42:18;21 147 v;https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDI-8Wk5C1ttF7Wf_G9bEDgact8EA, https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAz1jSPyp1pc43sDJ00RtY3TAGaVg;il y a 3 ans;/watch?v=FxAc0McBOWY;Sonya Evans;"'D3D'E   9DJCE !   AFRICAN INDIGENOUS SISTERS HAVE FAKE FAKE FAKE HAIR, MAKEUP !!! IT IS REALLY SAD THAT THEY DON&#39;T LIKE THEMSELVES NATURALLY...THE AFFECTS OF COLONIAL RULE, THEY ARE STILL EXISTING !!!   BE YOUR BEAUTIFUL SELVESTONE";2021-08-11T19:46:53Z;0
poverty and senegal;FxAc0McBOWY;Senegal. Documentary: The Silence of Senegal;Vento Maestrale;42:18;21 147 v;https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDI-8Wk5C1ttF7Wf_G9bEDgact8EA, https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAz1jSPyp1pc43sDJ00RtY3TAGaVg;il y a 3 ans;/watch?v=FxAc0McBOWY;Shelbourne King;They seem so peaceful and happy.;2021-07-02T02:16:14Z;2
poverty and senegal;FxAc0McBOWY;Senegal. Documentary: The Silence of Senegal;Vento Maestrale;42:18;21 147 v;https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDI-8Wk5C1ttF7Wf_G9bEDgact8EA, https://i.ytimg.com/vi/FxAc0McBOWY/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAz1jSPyp1pc43sDJ00RtY3TAGaVg;il y a 3 ans;/watch?v=FxAc0McBOWY;Margaret Kichenama;SAVE OUR BEAUTIFUL 🌏 PLANET!  Thank you for  such a Unique and Magnificent Fil;2021-06-05T12:53:57Z;2
